Product ID,title,features,description,store,details,parent_asin
11,"OstepDecor 1.5mm Thick Frosted Table Cover, 48 x 32 Incheses, Coffee Table Cover, Heavy Duty Table Top Cover Table Mat, Transparent Table Cover","['✔️【Updated Version Frosted】: This frosted table protector is recommended for glass, glossy, marble, white and other smooth surfaces.Unlike clear one, it will not leave bubbles or water marks on these tops. Use with the smooth side up and the textured side down.', '✔️【Material】: This waterproof desktop protector is made of PVC material without BPA, o-benzene, and formaldehyde. It can be in direct contact with food. Maximum heat resistant up to 176°F/80°C, it can tolerate warm plates & cup. A placemat on top of it is recommended for hot plates.', '✔️【Cut to Size】: You can mark the exact size with a pencil, and then use a sharp knife or scissors to cut. Note: We reserve a size longer than the actual size to reduce the size. If you need a custom size, please go to OstepDecor storefront, find Have a question for OstepDecor? Click Ask a question to contact us for your customization request.', '✔️【Easy to Clean】: Waterproof and dustproof, simply use a dishcloth to wipe stains or clean the pad with water. The table cover protector allows you to enjoy and protect your beautiful desktop, tabletops, or additional surfaces.', '✔️【We Care About You】: OstepDecor will be fully responsible for every product that has been sold. We are a professional manufacturer of household products. If you have any questions, please contact us in time, we will provide you with services 24/7.']",[],OstepDecor,"{""Package Dimensions"": ""36 x 3.25 x 3.25 inches"", ""Item Weight"": ""4.51 pounds"", ""Manufacturer"": ""OstepDecor"", ""Best Sellers Rank"": {""Kitchen & Dining"": 325, ""Table Pads"": 1}, ""Number of pieces"": ""1"", ""Batteries required"": ""No""}",B098QBNX1R
12,Cook N Home Universal Bamboo Knife Block Storage Holder Organizer 5.5x5.5x10-inch,"['Made of natural Bamboo that is durable and looks great', 'Holds most commonly used knives and accessories up to 8 inches deep', 'Flexible ""plastic fiber"" hold different knife shape and size, in any position, no slot needed', '""Plastic Fiber"" is removable and dishwasher safe.', 'Knife not included, opening 5. 5-inch x 5. 5-inch x height 10-inch']","['Made of natural Bamboo that is durable and looks great ; Holds most commonly used knives and accessories up to 8 inches deep ; Flexible ""plastic fiber"" hold different knife shape and size, in any position, no slot needed. ""Plastic Fiber"" is removable and dishwasher safe. Knife not included, opening 5. 5-inch x 5. 5-inch x height 10-inch']",Cook N Home,"{""Color"": ""Bamboo"", ""Material"": ""Bamboo"", ""Brand"": ""Cook N Home"", ""Is Dishwasher Safe"": ""Yes"", ""Style"": ""Universal Slot"", ""Product Dimensions"": ""5.5\""D x 5.5\""W x 10\""H"", ""Item Weight"": ""7.28 pounds"", ""Manufacturer"": ""Cook N Home"", ""Country of Origin"": ""China"", ""Item model number"": ""02666"", ""Best Sellers Rank"": {""Kitchen & Dining"": 250761, ""Knife Blocks"": 267}, ""Date First Available"": ""January 4, 2020"", ""Item Dimensions LxWxH"": ""5.5 x 5.5 x 10 inches""}",B083GM32SD
13,"Electric Blanket for Bed Twin Size, Soft Micro Plush Heated Blankets | Machine Washable with 20 Heating Levels & 10 Hours Auto Shut Off, Single Controller | 62x84 Inch, Ivory","[""SAFETY ASSURANCE: There are 20 heat settings to help give the perfect amount of comfort and warmth. Made with a 10-hour auto shut off so you don't have to worry about falling asleep with your throw still on. UL certified safety standard."", 'Soft and Even Heat Distribution: The dual-sided heated blanket from MP2 is constructed with one 200 GSM microlight side and one 200GSM berber side which offers an extra soft hand-feel. Ultra-thin electrical wires that promote even heat distribution without making the blanket feel heavy or excessively bulky', 'Lower Your Heating Bill: Electric blankets are actually cheaper to use than cranking the heat in your house. Using MP2 electric blanket lets you turn the heat down at night, then the additional cost can actually be a money saving investment', ""Size and Controllers: MP2 blankets are available in throw, twin, full, queen, and king size. Queen and king size come with dual control settings, so the blanket's temperature can be adjusted for either side of the bed - perfect for those who share their bed with a partner who prefers a different temperature"", 'Care and Guarantee: To clean your blanket, just remove the plug and controllers before putting your blanket in the washing machine. Use the gentle setting on your washer and the low heat setting on your dryer. MP2 also offers 5 - Year Warantty']","[""About Mp2 Heated Blanket: MP2 electric blanket allows you to feel cozy in the colder weather, helps you to sleep better, and is an affordable option when compared to running your heater at a higher temperature all night long. Our electric blanket is suitable for people who have trouble staying warm when they sleep. Couples with different temperature preferences. How to Care for a electric blanket? First, you must see MP2's care and instructions that are in our package so everyone stays safe. Aim to keep your electric blanket spread out evenly and not bunched up in a ball, which can create hot spots or damage the wires. When not in use, make sure to unplug and neatly fold the blanket to keep it in pristine condition. If you notice any brown spots on your blanket, stop using it immediately and purchase a replacement: the brown spots likely mean it has overheated, causing burnt areas.""]",MP2,"{""Material"": ""Polyester"", ""Color"": ""Ivory"", ""Brand"": ""MP2"", ""Special Feature"": ""Corded"", ""Style"": ""Modern"", ""Age Range (Description)"": ""Adult"", ""Product Dimensions"": ""12.5 x 15.5 x 5 inches"", ""Theme"": ""Plain"", ""Pattern"": ""Solid"", ""Seasons"": ""Winter, Autumn, Spring"", ""Product Care Instructions"": ""Machine Wash"", ""Size"": ""Twin"", ""Fabric Type"": ""Polyester"", ""Number of Items"": ""1"", ""Item Weight"": ""4.69 pounds"", ""Manufacturer"": ""MP2"", ""Country of Origin"": ""China"", ""Item model number"": ""MPT54-0017"", ""Best Sellers Rank"": {""Home & Kitchen"": 165724, ""Electric Blankets"": 103, ""Bed Blankets"": 334}, ""Date First Available"": ""November 1, 2019""}",B08M9K375M
14,"Crock-Pot 6 Quart Cook & Carry Programmable Slow Cooker with Digital Timer, Stainless Steel (SCCPVL610-S-A)","['6 quart Cook & Carry Slow Cooker serves 7 plus people', 'Digital countdown control lets you program cook times anywhere from 30 minutes up to 20 hours; shifts to Warm setting automatically once cook time completes', 'Easy to use locking lid featuring lid gasket provides extra seal for less mess on the go', 'All Crock Pot Slow Cooker removable stone inserts (without lid) may be used safely in the microwave and the oven set up to 400 degree F; If you own another slow cooker brand, please refer to your owner’s manual for specific crockery cooking medium tolerances', 'Works on 240 Watts at 120V A.C; and 60Hz']","['The Crock Pot Programmable Cook & Carry Slow Cooker with Digital Timer is made for portability. Its secure locking lid and rubber gasket create an airtight seal, helping to prevent spills on the road food stays inside, and you arrive at your destination without any worry or mess. Bring this portable slow cooker to potlucks, family gatherings, tailgating, parties and more. The digital panel allows you to customize your cooking time between 30 minutes and 20 hours, and set the temperature on High, Low, and and Warm. After cooking is complete, the slow cooker will automatically shift to Warm for up to 6 hours to help maintain food temperature and flavor. With dishwasher safe components, this is the perfect digital slow cooker just about anytime you need to transport food prepared at home. Recipes included. Weight: 16.18 Pounds,Cord length: 24 inch.']",Crock-Pot,"{""Product Dimensions"": ""17 x 11.8 x 9.8 inches"", ""Item Weight"": ""13.5 pounds"", ""Manufacturer"": ""Crockpot"", ""Domestic Shipping"": ""Item can be shipped within U.S."", ""International Shipping"": ""This item can be shipped to select countries outside of the U.S.  Learn More"", ""Country of Origin"": ""China"", ""Item model number"": ""SCCPVL610-S-A"", ""Best Sellers Rank"": {""Kitchen & Dining"": 1355, ""Slow Cookers"": 7}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""October 1, 2013""}",B07RK4KG5R
15,"LITBLOOM Lighted Eucalyptus Tree 4FT 160 Fairy Lights, Artificial Plant Tree with Lights for Indoor Outdoor Home Bedroom Wedding Spring Decoration","['【FLOOR PLANT LIGHTS】: This 4FT lighted tree is uniquely designed the artificial greenery with 160L cozy warm white fairy leds for home year round and holiday decor', '【LIFELIKE TEXTURE】: Vivid bark texture crafted on the tree trunk and grey green eucalyptus leaves on the twigs make the faux tree looks like a piece of artwork (insert the leaves back on the branches when falling down)', '【INDOOR OUTDOOR USE】: This light up twig tree is waterproof for indoor outdoor use. A perfect home daily decor peice for fireplace, living room, bedroom, shop window, entryway, porch, patio, garden, birthday, party, wedding, DIY event.', ""【DIY SHAPE】: The branches of the eucalyptus tree are flexible but sturdy to shape at will. Style it with a few sentimental ornaments hung from the branches for Easter, Valentine's day, Thanksgiving and Winter Christmas"", '【SAFE TO USE】: Apart from being waterproof IP44 for outdoor use, the light up tree is also designed with low output voltage (3.5V) to ensure safety. Light weight but sturdy with K-D structure for an easy use.']",[],LITBLOOM,"{""Product Dimensions"": ""7 x 7 x 48 inches"", ""Item Weight"": ""2 pounds"", ""Manufacturer"": ""Hairui Decor Lights"", ""Country of Origin"": ""China"", ""Item model number"": ""HR-LMT160-ET-4FT-A-3.5V-LB"", ""Best Sellers Rank"": {""Home & Kitchen"": 89459, ""Christmas Trees"": 11}, ""Date First Available"": ""April 27, 2020"", ""Color"": ""Green"", ""Brand"": ""LITBLOOM"", ""Material"": ""Plastic"", ""Theme"": ""Christmas"", ""Item Dimensions LxWxH"": ""7 x 7 x 48 inches""}",B08C7PF4D2
16,"VASAGLE Floor Cabinet, Multifunctional Bathroom Storage Cabinet with 3-Tier Shelf, Free-Standing Linen Tower, Wooden Cupboard, White UBBC63WT","['[Practical Storage for Small Space] Need to make the most of limited space in your apartment? This country-style floor cabinet offers ample storage space while taking up little floor area', '[Reliable Quality] Our bathroom cabinet is made of premium EPA-certificated MDF, which promises a long service life; environmentally friendly lacquered surface feels smooth to the touch', '[Hassle-Free Storage] 3 open storage shelves for various bathroom essentials; shelf has 3 height settings behind the door for items of different sizes', '[Superior Stability] VASAGLE tall cabinets are all designed with stability as its priority; the stable construction ensures a safe stand; you can also fix it to the wall with the included anti-toppling fittings', '[What You Get] A linen tower that helps you tuck away all the mess when running out of space for storage, plus numbered parts and clear instructions that facilitate the assembly process']","['Always annoyed with the chaos in the bathroom, living room, or corridor? The tall cabinet from VASAGLE is a practical solution for you.', 'Decorates Your Home', 'Painted white, the cabinet looks elegant and attractive in country home style, it serves not only as a piece of furniture, but also as a decoration in the home.', 'Sophisticated Design', 'The door can swivel 180° and is equipped with a chrome-plated metal handle, which makes handling easier. The hidden storage space behind the door can be divided as required by a shelf, which can be adjusted to 3 positions. You can store different items to protect them from dust and water. The open storage shelves offer ample space for frequently used bathroom essentials.', 'VASAGLE is committed to offering high-quality furniture to create a cozy and comfortable atmosphere for your home.', 'Specifications:', '- Color: White- Material: MDF (Passed EPA TSCA TITLE VI Certification by SGS)- Product Size:12.6”D x 15.7”W x 63”H (32 x 40 x 160 cm)- Product Weight: 28.7 lb (13 kg)', 'Package Contents:', '- 1 x Floor Cabinet- 1 x Accessory Kit- 1 x Instructions', 'VASAGLE Notes:', '- Use by children: only under adult supervision.- Children are not allowed to climb or stand on the product to avoid personal injury caused by the product tilting or tipping over.']",VASAGLE,"{""Brand"": ""VASAGLE"", ""Color"": ""White"", ""Recommended Uses For Product"": ""Bathroom"", ""Product Dimensions"": ""12.6\""D x 15.7\""W x 63\""H"", ""Mounting Type"": ""Floor Mount"", ""Room Type"": ""Bathroom"", ""Included Components"": ""1 x Floor Cabinet, 1 x Accessory Kit, 1 x Instructions"", ""Size"": ""15.7 in (W)"", ""Number of Shelves"": ""3"", ""Product Care Instructions"": ""Wipe with Damp Cloth"", ""Item Weight"": ""28.7 pounds"", ""Base Type"": ""Legs"", ""Installation Type"": ""Freestanding"", ""Back Material Type"": ""Engineered Wood"", ""Assembly Required"": ""Yes"", ""Country of Origin"": ""China"", ""Item model number"": ""UBBC63WT"", ""Is Discontinued By Manufacturer"": ""No"", ""Weight"": ""28.6 Pounds"", ""Best Sellers Rank"": {""Home & Kitchen"": 18530, ""Storage Cabinets"": 7}, ""Date First Available"": ""May 1, 2018"", ""Material Engineered Wood"": """", """": ""Shape Rectangular"", ""Number of Doors 1"": """"}",B0BLHL9K9R
17,"EsyDream 3D Oil Red Rose Bedding Sets 5 Pieces, Valentine Day King Size Floral Duvet Cover Set for Girls Women Couple Lover, Duvet Cover + Flat Bed Sheet + Fitted Sheet+2pcs Pillowcase, No Filling","['100% Cotton', 'Imported', '5-Pieces 3D Red Rose Bedding (King Size )---1pc Rose Print Duvet Cover 220x240cm (87’’x 95’’) ,1pc Rose Print Fitted Bed Sheet 180x200cm( 70’’x78’’+12’’),1pc Red Pure Color Flat Bed Sheet 96’’x107’’,2pc Rose Print Pillow case 20’’x28’’; NO COMFORTER INSERT.', 'Package—1pc Duvet Cover +1pc Flat Bed Sheet +1pc Fitted Bed Sheet+2pc Pillowcase, Not Comforter,No Filling.', 'HD Digital Print Technology---This 3D Rose Bedding Sets is Printing by HD Digital, Vibrant in Color and No Fade Issue. Bring the unique feelings to your bedroom.', 'Convenient Design---Provide the Fitted Bed Sheet And Flat Bed Sheet For Alternate washing,(Remark : flat bed sheet it’s the pure color no print, fitted bed sheet it’s print the 3d rose floral),Duvet Cover it’s the Zipper closure and 4 Ties at each corner Design.', 'Return Policy Details---EsyDream 3D Rose Bedspreads Bedding are designed to offer you a unique and sophisticated sleeping experience. You can return your purchase for up to 90 days from the shipping date.']",[],EsyDream,"{""Size"": ""King"", ""Material"": ""Cotton"", ""Color"": ""Red"", ""Pattern"": ""Patchwork"", ""Brand"": ""EsyDream"", ""Number of pieces"": ""5"", ""Special Feature"": ""Fade Resistant"", ""Style"": ""Art Deco"", ""Included Components"": ""Duvet, Fitted Sheet"", ""Closure Type"": ""Zipper"", ""Thread Count"": ""500"", ""Care instructions"": ""Machine Wash"", ""Theme"": ""Floral,Valentine"", ""Item Dimensions LxWxH"": ""17 x 13.5 x 2.5 inches"", ""Item Weight"": ""5.91 pounds"", ""Product Dimensions"": ""17 x 13.5 x 2.5 inches"", ""Manufacturer"": ""Forever Green Home Textile"", ""Country of Origin"": ""China"", ""Best Sellers Rank"": {""Home & Kitchen"": 1897477, ""Bedding Duvet Cover Sets"": 3815}, ""Is Discontinued By Manufacturer"": ""No"", ""Fabric Type"": ""100% Cotton"", ""Batteries required"": ""No"", ""Import"": ""Imported""}",B014P7ZDOG
18,"Stone Cottage - Queen Duvet Cover Set, Reversible Cotton Sateen Bedding with Matching Shams, All Season Home Decor (Camden Blue, Queen)","['100% Cotton', '100% Cotton', 'Sateen Cotton Construction - with a soft and breathable feel', 'Set includes: One duvet cover (92""L x 88""W) and two shams (21""L x 27""W)', 'Duvet cover features zipper closure and additional inner corner ties', 'Adds gorgeous rustic charm to your bedroom décor']","['Transcend trends by mixing classic and cottage favorites to create a look that is all yours. The Stone Cottage Camden Duvet Cover Set features a beautiful blue and white damask design feels fresh and modern in an oversized scale and the simple ticking stripe reverse keeps the mood relaxed. Printed on luxurious 230 thread count cotton sateen, the inviting, silky smooth hand will keep you cool and comfortable in any season. Solid color sheets are always an option, but keep things interesting by layering in a cottage floral print like our Sketchy Ditsy cotton sheet set for a unique pattern mix. Accessorize with our Asher grey European shams and Whitehills channel stitched grey quilt for an added level of luxury and comfort. Ensemble is machine washable for easy care. Duvet cover features button closure and addtional inner corner to secure duvet insert in place. Duvet insert is not included. Full/Queen duvet cover set includes: one duvet cover (92""L x 88""W) and two shams (21""L x 27""W). King duvet cover set includes: one duvet cover (92""L x 106""W) and two shams (21""L x 37""W).']",Stone Cottage,"{""Size"": ""Queen"", ""Material"": ""Sateen, Cotton, 100% Cotton"", ""Color"": ""Camden Blue"", ""Pattern"": ""Floral"", ""Brand"": ""Stone Cottage"", ""Number of Pieces"": ""3"", ""Special Feature"": ""Breathable"", ""Style"": ""Cottage"", ""Included Components"": ""One duvet cover and two shams"", ""Closure Type"": ""Button, Zipper"", ""Thread Count"": ""230"", ""Age Range (Description)"": ""Adult"", ""Product Care Instructions"": ""Machine Wash"", ""Theme"": ""Cottage,Rustic"", ""Seasons"": ""All"", ""Item Dimensions LxWxH"": ""11 x 9 x 4 inches"", ""Product Dimensions"": ""11 x 9 x 4 inches"", ""Item Weight"": ""3.6 pounds"", ""Manufacturer"": ""Revman International"", ""Country of Origin"": ""Mexico"", ""Item model number"": ""USHSFN1126213"", ""Best Sellers Rank"": {""Home & Kitchen"": 1002650, ""Bedding Duvet Cover Sets"": 1928}, ""Fabric Type"": ""100% Cotton"", ""Assembly required"": ""No"", ""Batteries required"": ""No""}",B089LG6FVJ
19,"Sun Joe SPX3000 2030 Max PSI 1.76 GPM 14.5-Amp Electric High Pressure Washer, Cleans Cars/Fences/Patios","['[POWERFUL]: 14.5-Amp/1800-watt motor generates up to 2030 PSI (at initial discharge per CSA internal pressure testing) and 1.76 GPM (with nozzle open at minimum pressure) of water flow.Water Inlet Pressure (max) 0.7 Mpa', '[VERSATILE]: Tackle a variety of cleaning tasks: homes, buildings, RV’s, cars, trucks, boats, decks, driveways, patios, lawn equipment, and more. With two 0.9 L onboard detergent tanks, removable tanks carry and store different types of detergent to simultaneously tackle different cleaning projects.', '[TSS (Total Stop System)]: Automatically shuts off pump when trigger is not engaged to save energy and prolong pump life.', '[MAX PSI]: At initial discharge per CSA internal pressure testing. Max GPM with nozzle open at minimum pressure.', '[NOTE]: To ensure a fully functioning washer, please make sure all hoses and cleaner connections are properly and securely fastened.']","['THIS ELECTRIC PRESSURE WASHER GETS YOUR DIRTY WORK DONE. The Sun Joe SPX3000® pressure washer delivers it all to tackle a variety of cleaning tasks: homes, buildings, RV’s, cars, trucks, boats, decks, driveways, patios, lawn equipment, and more. OUR BEST-SELLING PRESSURE WASHER, THE SPX3000® COMBINES POWER, PERFORMANCE, AND VERSATILITY. This pressure washer packs a powerful punch with its 1800-Watt/14.5-amp motor. The Sun Joe SPX3000® electric pressure washer can remove tar and grease from concrete, heavy mildew stains, oil stains, rust from steel, caked mud on equipment, and other stubborn gunk and grime. THIS ELECTRIC PRESSURE WASHER CONSISTENTLY IMPRESSES CUSTOMERS WITH POWER AND PERFORMANCE. Equipped with a dual detergent tank system, the Sun Joe SPX3000® pressure washer carries and stores two different types of detergent simultaneously in its two 0.9 L onboard, removable detergent tanks. Conveniently switch between different detergents with its detergent selection dial and blast away all sorts of grime. This pressure washer features a 34-inch extension spray wand to access hard-to-reach areas, such as 2-story buildings and the undersides of automotive vehicles and lawn equipment. Plus, its rear wheels provide easy portability around your yard. THIS VERSATILE PRESSURE WASHER IS YOUR ULTIMATE DIRT FIGHTER. This pressure washer lets you tailor the pressure output of the spray to your cleaning need with Sun Joe’s five Quick-Connect spray nozzles (0º, 15º, 25º, 40º and soap). Interchange nozzles to quickly go from a high-pressure 0° pencil point jet to a low-pressure 40° fan spray or apply detergent to the cleaning surface with the soap nozzle for additional cleaning power. Other features on the SPX3000® electric pressure washer include a 20-foot high pressure hose, 35-foot power cord, garden hose adapter, and a TSS (Total Stop System) trigger that automatically shuts off the pump when the trigger is not engaged to save energy and prolong pump life. The SPX3000® pressure washer comes with a full two-year warranty and is CSA listed.']",Sun Joe,"{""Brand"": ""Sun Joe"", ""Power Source"": ""Corded Electric"", ""Color"": ""Green"", ""Maximum Pressure"": ""2030 Pound per Square Inch"", ""Item Weight"": ""24.3 Pounds"", ""Hose Length"": ""20 Feet"", ""Product Dimensions"": ""19.5\""L x 15\""W x 22\""H"", ""Tank Volume"": ""1.8 Liters"", ""Maximum Flow Rate"": ""1.76 Gallons Per Minute"", ""Manufacturer"": ""Snow Joe LLC"", ""Country of Origin"": ""China"", ""Item model number"": ""SPX3000"", ""Best Sellers Rank"": {""Patio, Lawn & Garden"": 97, ""Pressure Washers"": 1}, ""Is Discontinued By Manufacturer"": ""No""}",B0BLGKF3B7
20,"COSTWAY 3-in-1 Stand Mixer, 800W 6-Speed Tilt-Head Food Mixer, 7 QT Upgraded Kitchen Electric Mixer w/ Whisk, Dough Hook, 2 Beaters and 304 Stainless Steel Bowl, Meat Grinder, Juice Blender, Sausage Stuffer (Black)","['3-IN1 MULTIFUNCTIONAL STAND MIXER------ Our versatile product is a combination of stand mixer, meat grinder and juice extractor. It is easy to use for making pastries and desserts. In addition, mincing meat and squeezing juice can be done at the same time. (components for meat grinder and sausage stuffer, as well as a 1.5 qt juice squeezer, are all included.)', 'POWERFUL MOTOR & 6+PULSE VARIABLE SPEED CONTROL------Equipped with an 800 W powerful motor and handy 6-speed control, together with a pulse function, The kitchen food mixer can easily implement multiple functions. 6-speed control features profit you in different occasions. 1-3 position: kneading dough; 2-4 position: mixing butter; 5-6 position: whisking eggs.', 'THREE ACCESSORIES TO ACHIEVE MULTIPURPOSE MIXING------Featuring 3 different kinds of attachments, 2 beaters, dough hook and eggs whisk, this stand mixer is easy to use to make cakes, breads, cookies, pastry, muffins and waffle. Other than that, the splash guard can prevent ingredient spillage. Rubber pads at the bottom provide stability.', 'HIGH QUALITY MATERIAL------On the one hand, the 7 quart mixing bowel is made of 304 stainless steel. Compared to normal stainless steel, 304 stainless steel has better high temperature and corrosion resistance. On the other hand, the main body of our electric mixer is made of ABS plastic, which offers you with long-term service.', 'HUMANIZED DESIGN------a. The motor will stop running once the head of our stand mixer is raised, which ensures safety. b. The design of the tilt-head is convenient to not only add ingredients, but also install or remove mixing bowl and attachments. c. 7 qt capacity bowl is enough to mix dough for 9 dozen cookies or 4 loaves of bread in a single batch.']",[],COSTWAY,"{""Brand"": ""COSTWAY"", ""Color"": ""Black"", ""Product Dimensions"": ""13.5\""D x 7.5\""W x 23\""H"", ""Material"": ""ABS Plastic + Stainless Steel"", ""Number of Speeds"": ""6"", ""Capacity"": ""7 Liters"", ""Voltage"": ""120 Volts"", ""Wattage"": ""800 watts"", ""Item Weight"": ""18.5 Pounds"", ""Is Dishwasher Safe"": ""Yes"", ""Manufacturer"": ""COSTWAY"", ""Best Sellers Rank"": {""Kitchen & Dining"": 278862, ""Household Stand Mixers"": 356}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""April 17, 2019""}",B089GGCSMM
21,"Breville Juice Fountain Plus Juicer, Brushed Stainless Steel, JE98XL","['The Breville Juice Fountain Plus is the perfect way to get yourself into the world of juicing; This centrifugal juicer features a 3 inch extra wide fruit chute, dual speeds, lightning-quick operation and simple clean up', 'UNIQUE EXTRACTION SYSTEM: The Breville juicers titanium reinforced disc and Italian-made micro mesh filter basket are made out of stainless steel and together are designed for optimum juice and nutrient extraction', 'SHORT PREP TIME: The juicers unique 3 inch extra wide chute feed allows you to juice whole fruits and vegetables without pre-cutting', 'BUILT-IN FROTH SEPARATOR: Certain fruits or vegetables create froth when juiced; The juice jug features an integrated froth separator to pour more juice, less froth into the glass', 'CONVENIENT STORAGE: The power cord wraps around its feet under the base and the pulp container is detachable making the blender easy to store', 'TWO SPEED CONTROL: Use the low speed for softer fruits and leafy vegetables, and the high speed for denser fruits and harder vegetables', 'INCLUDED ACCESSORIES: 35.2 fl oz Juice Jug with Froth Separator and Cleaning Brush', 'CAPACITY: 35.2 fl oz Juice Jug and 2.6 qt Pulp Container', 'SETTINGS: Two Speed Electronic Control', 'WARRANTY: 1 Year Limited Product Warranty; Power: 850 Watts; Voltage: 110 to 120 Volts', 'Extra-wide 3-inch feeder chute can create 8oz. cup of juice in just 5 seconds', '850-watt dual-speed motor; powerful stainless-steel cutting disc for fast results', 'Safety locking arm; overload protection LED; large-capacity pulp collector', 'Dishwasher-safe parts; includes 1-liter juice jug with froth separator, filter basket, and cleaning brush', 'Measures approximately 13-1/5 by 16-1/2 by 18-1/5 inches; 1-year limited warranty']","['Construction Materials:Heavy Grade Polymer Body,Stainless Steel Cutters,Stainless Steel Micro Mesh Filter Basket,1.1qt Juice Jug,Large 2.6qt Pulp Container.']",Breville,"{""Brand"": ""Breville"", ""Color"": ""Brushed Stainless Steel"", ""Special Feature"": ""Programmable"", ""Product Dimensions"": ""13.2\""D x 16.5\""W x 18.2\""H"", ""Material"": ""Plastic"", ""Finish Type"": ""Brushed"", ""Recommended Uses For Product"": ""Residential"", ""Product Care Instructions"": ""Dishwasher Safe"", ""Capacity"": ""1 Liters"", ""Maximum Power"": ""850 Watts"", ""Wattage"": ""850 watts"", ""Item Weight"": ""9.9 pounds"", ""Power Source"": ""Corded Electric"", ""Blade Material"": ""Stainless Steel"", ""Voltage"": ""120 Volts"", ""Is Dishwasher Safe"": ""Yes"", ""Manufacturer"": ""Breville USA"", ""Item model number"": ""JE98XL"", ""Best Sellers Rank"": {""Kitchen & Dining"": 5675, ""Centrifugal Juicers"": 12}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""March 25, 2010""}",B003R28HWQ
22,LLADRÓ Comforting Dreams Girl Figurine. Porcelain Baby Figure.,"['HANDMADE IN SPAIN: The highest-quality pieces handcrafted in Valencia, in the only LLADRÓ factory in the world. A team of expert artists and designers keep alive ancestral trades and techniques to turn porcelain into dreams. Sculptors, ornamenters, technicians, painters are all involved in the craftsmanship process... An endless number of hands that, one by one, leave their mark, an almost imperceptible imprint, making each artwork UNIQUE and EXCLUSIVE.', 'BEAUTY AND SUSTAINABILITY: Our goal is always to create beauty from a place of sustainability and respect, principles that are part of the brand’s DNA. Lladró respects all the resources involved in the process of creating, making and selling our porcelain artworks, to offer a BEAUTIFUL, SUSTAINABLE and DURABLE product.', 'QUALITY AND EXCELLENCE: The pursuit of perfection is not only part of the process of designing and creating the pieces, but also extends to quality control, where the finished SCULPTURE undergoes various tests to certify that it meets Lladró’s high self-imposed standards. Excellence is also applied to the packaging, which is customised to the particularities of each piece, so that it reaches its final destination safely and in PERFECT condition.', 'A GIFT THAT WILL LAST A LIFETIME: The finest details come in the form of porcelain. Gifting a LLADRÓ artwork is synonymous with celebration and joy. It’s a way of saying: I love you, I am happy for your success or welcome. We have the perfect piece for every SPECIAL OCCASION, thanks to a wide range of artistic creations that your loved ones will value and treasure forever.', 'LLADRÓ: Founded in 1953, Lladró is the result of three brothers’ passion for PORCELAIN; Juan, José and Vicente Lladró. Over the years, the expressive possibilities of porcelain have been pushed to the limit, reaching its own unique and distinctive style, which has given the company international fame.']","['A baby girl, bow in hair, nestled in her basket.']",LLADRÓ,"{""Product Dimensions"": ""3 x 4.75 x 4 inches"", ""Item Weight"": ""10.4 ounces"", ""Manufacturer"": ""Lladr\u00f3"", ""Item model number"": ""1006710"", ""Best Sellers Rank"": {""Home & Kitchen"": 2447721, ""Collectible Figurines"": 25266}, ""Is Discontinued By Manufacturer"": ""No"", ""Assembly required"": ""No"", ""Number of pieces"": ""1"", ""Batteries required"": ""No""}",B0006V2XBW
